statnm,linenm,minutes,lng,lat,within30,within60
세마,서울1호선,96.2,127.04348745015096,37.18717178773829,0,0
서빙고,경의중앙선,96.2,126.98839897917318,37.51958109244649,0,0
응암,서울6호선,96.3,126.91550893271139,37.59838760929528,0,0
을지로3가,서울2호선,96.3,126.9910443015022,37.56629631337946,0,0
신용산,서울4호선,96.3,126.96789823329631,37.529231386392546,0,0
남태령,서울4호선,96.7,126.98907757220772,37.46430177367908,0,0
광화문,서울5호선,96.7,126.9762752206268,37.5716380935469,0,0
상갈,분당선,97.0,127.1087702594018,37.26180717695745,0,0
마산,김포도시철도,97.1,126.6439651680995,37.64064776612532,0,0
수색,경의중앙선,97.3,126.89548394903996,37.580959550149295,0,0
동대문,서울1호선,97.3,127.01077039000796,37.571669381552304,0,0
한국항공대,경의중앙선,97.6,126.86822930232013,37.6030519075975,0,0
서동탄,서울1호선,97.7,127.0519099950957,37.195635055757435,0,0
마두,서울3호선,97.7,126.7775426540306,37.65239742682802,0,0
선정릉,서울9호선급행,97.8,127.0440542026834,37.51050736146603,0,0
교대,서울2호선,97.8,127.0145212219361,37.49391874143159,0,0
을지로4가,서울2호선,97.8,126.99764984161506,37.566626674163885,0,0
역촌,서울6호선,98.0,126.92290682752925,37.60628390892164,0,0
원당,서울3호선,98.2,126.84287194743236,37.65300458680754,0,0
사평,서울9호선,98.2,127.0151631744664,37.50422483239932,0,0
동대문역사문화공원,서울4호선,98.3,127.00788803473623,37.56506741473066,0,0
반포,서울7호선,98.5,127.01147731905735,37.50812717016541,0,0
구산,서울6호선,98.8,126.91731396392704,37.61125772628649,0,0
동묘앞,서울1호선,98.8,127.01638399443921,37.57322147627274,0,0
오산대,서울1호선,99.2,127.06306431361428,37.16936931558467,0,0
한남,경의중앙선,99.2,127.00930523910256,37.529487486397066,0,0
구래,김포도시철도,99.3,126.62853189571263,37.64537030405077,0,0
기흥,분당선,99.3,127.11596117176872,37.27548895165585,0,0
불광,서울6호선,99.7,126.9292376904709,37.61080604020588,0,0
정발산,서울3호선,99.7,126.77339877072514,37.65947397722269,0,0
강남,서울2호선,99.8,127.02806167769987,37.49811677955261,0,0
잠원,서울3호선,99.8,127.0115777959725,37.51297848809268,0,0
킨텍스,GTX_A,99.9,126.75093530717345,37.66914728008777,0,0
논현,서울7호선,100.0,127.021853180708,37.51126113697782,0,0
안국,서울3호선,100.3,126.98533293693089,37.576442750720375,0,0
인천공항2터미널,공항철도,100.5,126.43357757667609,37.46877657917764,0,0
녹사평,서울6호선,100.5,126.98646417389271,37.53472691082226,0,0
봉은사,서울9호선급행,100.6,127.0601734237017,37.514427257649025,0,0
연신내,서울6호선,100.8,126.92034672343753,37.61847531082092,0,0
신설동,서울1호선,100.8,127.02450627352647,37.57600288625438,0,0
원흥,서울3호선,101.2,126.87313534197118,37.650661143518434,0,0
양촌,김포도시철도,101.2,126.61481419659216,37.64174342339215,0,0
역삼,서울2호선,101.3,127.03636840669158,37.50063961417192,0,0
신갈,분당선,101.8,127.1113292802862,37.28614017206379,0,0
독바위,서울6호선,101.8,126.93305609503038,37.61838482264798,0,0
신사,서울3호선,101.8,127.02031497821802,37.51644325136979,0,0
학동,서울7호선,101.8,127.03181201807583,37.51434017199306,0,0
언주,서울9호선,101.9,127.03388761609956,37.50732567260436,0,0
이태원,서울6호선,102.0,126.99428965640911,37.53450039805834,0,0
옥수,경의중앙선,102.2,127.0185867229776,37.5403743443041,0,0
주엽,서울3호선,102.2,126.76141908136567,37.67009245582665,0,0
신당,서울2호선,102.3,127.01968796261629,37.56568075110923,0,0
혜화,서울4호선,102.3,127.00191835595663,37.58212081591027,0,0
경복궁,서울3호선,102.3,126.97351447221486,37.57580958905711,0,0
남부터미널,서울3호선,102.3,127.01630214150559,37.48500070905941,0,0
제기동,서울1호선,102.8,127.03444274006958,37.57815380758885,0,0
동대입구,서울3호선,103.0,127.00581884359067,37.55909036634736,0,0
오산,서울1호선,103.2,127.06670713428403,37.144826272446934,0,0
종합운동장,서울9호선급행,103.2,127.07610376624258,37.51175432363645,0,0
강남구청,서울7호선,103.5,127.0410971937261,37.5171658604025,0,0
운정중앙,GTX_A,103.5,126.72845720374599,37.71622276595849,0,0
삼송,서울3호선,103.7,126.89549454506391,37.653152567101166,0,0
선릉,서울2호선,103.8,127.04884944742885,37.50447516204327,0,0
상왕십리,서울2호선,103.8,127.02933321473817,37.564390820548745,0,0
한강진,서울6호선,104.0,127.00176196884566,37.53967214815189,0,0
구성,분당선,104.2,127.10567039677503,37.29897873981181,0,0
대화,서울3호선,104.2,126.74751236326142,37.676141864706125,0,0
압구정,서울3호선,104.3,127.02849480804664,37.52683240163011,0,0
한성대입구,서울4호선,104.3,127.00617856974323,37.58849271957477,0,0
삼성중앙,서울9호선,104.5,127.05332657895441,37.51303446510631,0,0
약수,서울3호선,104.5,127.01098427642751,37.55439350786292,0,0
독립문,서울3호선,104.8,126.9579896188348,37.57428893805548,0,0
양재,서울3호선,104.8,127.0338695771307,37.48458004712426,0,0
청량리,서울1호선,104.8,127.04503311544889,37.580102747013676,0,0
청구,서울5호선,105.0,127.01406824543665,37.56014464602058,0,0
응봉,경의중앙선,105.2,127.03465062663128,37.5501726486635,0,0
왕십리,서울2호선,105.3,127.03758032298498,37.561265875713445,0,0
청담,서울7호선,105.5,127.05357716068204,37.519428891240395,0,0
삼성,서울2호선,105.8,127.06313210133392,37.508915301152705,0,0
버티고개,서울6호선,105.8,127.00691104815432,37.54790967736629,0,0
창신,서울6호선,106.0,127.01529141982512,37.57948029984715,0,0
금호,서울3호선,106.0,127.01581679193747,37.54824925934082,0,0
성신여대입구,서울4호선,106.3,127.01697872535821,37.59292658855122,0,0
보정,분당선,106.5,127.10834005272706,37.31279826193464,0,0
강남대,용인경전철,106.5,127.12604715514982,37.27014813638295,0,0
탄현,경의중앙선,106.6,126.76103505937259,37.69363151126452,0,0
지축,서울3호선,106.7,126.91391974545675,37.64812027107421,0,0
녹번,서울3호선,106.8,126.93586815232014,37.60076080621573,0,0
무악재,서울3호선,106.8,126.95021687156621,37.582615528017996,0,0
신금호,서울5호선,107.0,127.02045619314652,37.55448097674334,0,0
석촌,서울9호선급행,107.3,127.10677442004423,37.50520387554385,0,0
매봉,서울3호선,107.3,127.04677618667323,37.48696948538969,0,0
한양대,서울2호선,107.3,127.04362373849646,37.55548547037737,0,0
한티,분당선,107.4,127.05289869433383,37.496292233946704,0,0
보문,서울6호선,107.5,127.01968773941685,37.58544175366165,0,0
양재시민의숲,신분당선,107.8,127.03847630891948,37.470130796153555,0,0
회기,서울1호선,107.8,127.05815611692901,37.58988954795909,0,0
압구정로데오,분당선,108.1,127.04055846245011,37.52734337097982,0,0
지석,용인경전철,108.3,127.13663911569527,37.269748151901375,0,0
용두,서울2호선,108.3,127.03813603839771,37.57410031842874,0,0
뚝섬유원지,서울7호선,108.5,127.06669338787944,37.53153233958963,0,0
행당,서울5호선,108.5,127.02949243020419,37.557350356449874,0,0
야당,경의중앙선,108.6,126.76145006800459,37.71257178070268,0,0
구파발,서울3호선,108.7,126.91881730019298,37.63639757222915,0,0
길음,서울4호선,108.8,127.02515133072453,37.603424972807424,0,0
홍제,서울3호선,108.8,126.94406885541066,37.588796505512455,0,0
도곡,분당선,108.9,127.05528972002826,37.49126963926923,0,0
안암,서울6호선,109.2,127.02929395773253,37.5863062738596,0,0
뚝섬,서울2호선,109.3,127.04703599105132,37.5473444530958,0,0
죽전,분당선,109.5,127.10756652082293,37.32470333266271,0,0
어정,용인경전철,109.8,127.1437690636977,37.27496736479221,0,0
외대앞,서울1호선,109.8,127.06375491007906,37.59657323790454,0,0
잠실새내,서울2호선,109.8,127.08578361601805,37.51162337532623,0,0
서울숲,분당선,109.9,127.04468169688805,37.54360242963025,0,0
구룡,분당선,110.3,127.05959630216212,37.48702793012337,0,0
신답,서울2호선,110.3,127.04706944994531,37.56984395489578,0,0
건대입구,서울7호선,110.3,127.07104527435243,37.540787120208606,0,0
