statnm,linenm,minutes,lng,lat,within30,within60
명동,서울4호선,42.4,126.98574103082794,37.56088522014015,0,1
신길,서울1호선,42.5,126.91817592758282,37.51689070819467,0,1
송파나루,서울9호선,42.5,127.11222006447059,37.51030427208916,0,1
신용산,서울4호선,42.5,126.96789823329631,37.529231386392546,0,1
한양대,서울2호선,42.6,127.04362373849646,37.55548547037737,0,1
강동,서울5호선,43.0,127.13241463712437,37.53588915403585,0,1
수원시청,분당선,43.1,127.03073907903122,37.261944303981316,0,1
구로디지털단지,서울2호선,43.2,126.90134510068359,37.4853026389804,0,1
면목,서울7호선,43.2,127.08749999489152,37.5887397099918,0,1
경복궁,서울3호선,43.3,126.97351447221486,37.57580958905711,0,1
천호,서울8호선,43.3,127.12322157745128,37.538017360102174,0,1
보라매,서울7호선,43.4,126.92034734244736,37.4999176165529,0,1
동대문역사문화공원,서울4호선,43.4,127.00788803473623,37.56506741473066,0,1
동묘앞,서울6호선,43.4,127.01570276450394,37.572132307753456,0,1
아차산,서울5호선,43.6,127.08969907636653,37.55192170514021,0,1
장한평,서울5호선,43.6,127.06358974503318,37.56159912471764,0,1
이태원,서울6호선,43.6,126.99428965640911,37.53450039805834,0,1
여의나루,서울5호선,43.7,126.9329458250847,37.52707871139832,0,1
회현,서울4호선,43.9,126.9787618992552,37.55902192175472,0,1
국회의사당,서울9호선,44.0,126.91744560355306,37.52849815032641,0,1
삼각지,서울4호선,44.0,126.97289696351694,37.53441317709764,0,1
대공원,서울4호선,44.2,127.00653686551743,37.43572575371737,0,1
을지로입구,서울2호선,44.3,126.98220699926492,37.56602408391536,0,1
을지로4가,서울2호선,44.3,126.99764984161506,37.566626674163885,0,1
남영,서울1호선,44.5,126.97132962571818,37.54059055609324,0,1
한성백제,서울9호선,44.6,127.11527498699265,37.51526192266898,0,1
중앙보훈병원,서울9호선급행,44.7,127.14826627604758,37.528665428902215,0,1
상봉,서울7호선,44.9,127.08571314404865,37.595737139295096,0,1
동대문,서울4호선,44.9,127.00933705565537,37.57083797907694,0,1
영등포,서울1호선,45.0,126.90744561446621,37.515659232420234,0,1
세종대왕릉,경강선,45.0,127.57050292506307,37.29366739046331,0,1
녹사평,서울6호선,45.1,126.98646417389271,37.53472691082226,0,1
길동,서울5호선,45.2,127.14004175872209,37.53789287459892,0,1
대림,서울2호선,45.2,126.89491262980711,37.493413730516004,0,1
염창,서울9호선급행,45.2,126.8749622945185,37.54716168877678,0,1
신풍,서울7호선,45.2,126.90977223355294,37.50012633786362,0,1
서빙고,경의중앙선,45.3,126.98839897917318,37.51958109244649,0,1
창신,서울6호선,45.3,127.01529141982512,37.57948029984715,0,1
매교,분당선,45.5,127.01568721056431,37.26551025848763,0,1
당곡,신림선,45.6,126.92763562815304,37.490118580503605,0,1
암사,서울8호선,45.7,127.12752631532125,37.55013385216643,0,1
영등포시장,서울5호선,45.7,126.90511351400251,37.52269057657752,0,1
청량리,분당선,45.8,127.04875972294188,37.58054846319079,0,1
답십리,서울5호선,45.8,127.05259116240943,37.56695084975485,0,1
광나루,서울5호선,45.8,127.10363624600873,37.545260871802135,0,1
독립문,서울3호선,45.8,126.9579896188348,37.57428893805548,0,1
종로5가,서울1호선,45.8,127.00191050851747,37.57100470619648,0,1
종각,서울1호선,45.8,126.982955850426,37.57016455650105,0,1
서울역,서울4호선,45.9,126.9725798587494,37.552889041018354,0,1
